Phi,Theta,E_deloc
0,0,0.0
0,10,0.07307543122620223
0,20,0.33527881191929965
0,30,0.7504707692613961
0,40,1.2393090026369926
0,50,1.7866154497704645
0,60,2.333266275499995
0,70,2.8465224528575903
0,80,3.2188695389890825
0,90,3.389495448566633
0,100,3.2968311316572327
0,110,2.9724478214874086
0,120,2.486498513970703
0,130,1.9049468926584248
0,140,1.3192699017316085
0,150,0.7709725548859326
0,160,0.3502568869943111
0,170,0.09342856014249037
0,180,0.07347653507461177
0,190,0.24827763835389033
0,200,0.5813370133636593
0,210,0.9999980287778949
0,220,1.4421394268762475
0,230,1.903980591523992
0,240,2.3535341261601777
0,250,2.7655516409288965
0,260,3.04423924376514
0,270,3.126104318900574
0,280,2.952689571089919
0,290,2.581280297228719
0,300,2.1197770461708787
0,310,1.652404389544796
0,320,1.2287996073152878
0,330,0.8293224206706986
0,340,0.4623233428573872
0,350,0.148465994043137
5,0,0.1358797948969584
5,10,0.19895718801369616
5,20,0.4825064794143402
5,30,0.9330472738780541
5,40,1.453513592222876
5,50,2.004624626423801
5,60,2.527912539395587
5,70,3.006089018220462
5,80,3.3481310593206595
5,90,3.503016093645794
5,100,3.4137194921780196
5,110,3.109007334135902
5,120,2.649300955073231
5,130,2.0878227191842527
5,140,1.5077747347879744
5,150,0.9477366947267601
5,160,0.5084878620866163
5,170,0.2442147057952707
5,180,0.23271597994530863
5,190,0.41923054258071263
5,200,0.7492036403833352
5,210,1.1566793077385138
5,220,1.5891782770837168
5,230,2.059518109883928
5,240,2.53013272879431
5,250,2.9650946708851715
5,260,3.2545756796377896
5,270,3.32754292820089
5,280,3.125703215194844
5,290,2.711220907666789
5,300,2.2075836902171124
5,310,1.7181590497473085
5,320,1.3031023832275033
5,330,0.9404262776347527
5,340,0.6068758767461543
5,350,0.30522916277563217
10,0,0.2729068647217309
10,10,0.326356073160692
10,20,0.6283194279914827
10,30,1.1146500099680063
10,40,1.6642174348672458
10,50,2.213444373388354
10,60,2.707309079332459
10,70,3.143934861490565
10,80,3.451334766250363
10,90,3.5885482687681165
10,100,3.503030149812887
10,110,3.218692267859149
10,120,2.786557755682127
10,130,2.2479996625740597
10,140,1.6775776033904757
10,150,1.1130631650685927
10,160,0.6624043365256305
10,170,0.39666230706338457
10,180,0.3926757423129111
10,190,0.5890786548455776
10,200,0.9111345340644443
10,210,1.3006559768010724
10,220,1.7175241988428247
10,230,2.1921466552333158
10,240,2.6812809471633603
10,250,3.139120675340216
10,260,3.437687072948011
10,270,3.5005041123662672
10,280,3.269085946849471
10,290,2.8129218560125864
10,300,2.270516567884381
10,310,1.7626452963549248
10,320,1.3637412135546791
10,330,1.0410650416859204
10,340,0.74443645441686
10,350,0.4553749983389707
15,0,0.4196264380738949
15,10,0.46468221184798814
15,20,0.784743742165886
15,30,1.3072353459345374
15,40,1.88252587065098
15,50,2.423648279563256
15,60,2.8798003846484184
15,70,3.2667801022366514
15,80,3.5342200455154638
15,90,3.652138963954921
15,100,3.571272255638606
15,110,3.3087730673634703
15,120,2.906293187311707
15,130,2.394673741576808
15,140,1.838585807922155
15,150,1.2777537181228886
15,160,0.8247216502430131
15,170,0.5653002052570186
15,180,0.5706461427317909
15,190,0.7729318262906195
15,200,1.0807473930107396
15,210,1.442295990570853
15,220,1.8355949119303867
15,230,2.308196977215735
15,240,2.8140695701064478
15,250,3.2955430440860765
15,260,3.604212650226805
15,270,3.656383121136653
15,280,3.3938016662743284
15,290,2.896909166543138
15,300,2.3184827912194104
15,310,1.795986104510397
15,320,1.4207332124496048
15,330,1.142961459015561
15,340,0.8889377837988438
15,350,0.6138175697109782
20,0,0.5833489329015318
20,10,0.6162113909256748
20,20,0.9535783643480906
20,30,1.5125921842930452
20,40,2.11059928776924
20,50,2.63706095274791
20,60,3.04493910451377
20,70,3.3728548510651977
20,80,3.594639122032208
20,90,3.691751661946638
20,100,3.61713205655248
20,110,3.3794064216156583
20,120,3.009848675662091
20,130,2.5299232664221463
20,140,1.9936128476873034
20,150,1.4440060780474215
20,160,0.9984370374609803
20,170,0.7537079000057805
20,180,0.7714943288086274
20,190,0.9744926117850371
20,200,1.2598848345392155
20,210,1.5816113971503134
20,220,1.9420707016858911
20,230,2.4056162436528363
20,240,2.9278587264148204
20,250,3.435031894145194
20,260,3.758251739883289
20,270,3.800947201183058
20,280,3.5052535396448805
20,290,2.967183146567507
20,300,2.3533600550354774
20,310,1.819914716927021
20,320,1.4747715892499964
20,330,1.2496198540991283
20,340,1.0454248486376685
20,350,0.7867297451998083
25,0,0.7676156328273946
25,10,0.7885173928531574
25,20,1.1424957844890529
25,30,1.7380641371247274
25,40,2.3568168138900707
25,50,2.861188028616471
25,60,3.2086176106837705
25,70,3.467048783887962
25,80,3.637044172298803
25,90,3.7123495819891397
25,100,3.646874163477475
25,110,3.4390306325556694
25,120,3.107419610761715
25,130,2.664396688268253
25,140,2.15378790842734
25,150,1.6220030846806712
25,160,1.1944788183882435
25,170,0.972675659428867
25,180,1.0062971523308735
25,190,1.2043713095442852
25,200,1.4568040612389028
25,210,1.7262053466231313
25,220,2.0431220526789757
25,230,2.4905697925390484
25,240,3.0301098744833235
25,250,3.5666441885727354
25,260,3.9108071472845505
25,270,3.9469588818134067
25,280,3.6167266857450677
25,290,3.0341371645367112
25,300,2.382453254888896
25,310,1.841344274641349
25,320,1.532607964200342
25,330,1.370292282017641
25,340,1.224103329972001
25,350,0.9854529978211137
30,0,0.9829435891871358
30,10,0.9826099426989133
30,20,1.3525452607342088
30,30,1.9856185085208513
30,40,2.6246524015469768
30,50,3.0989011135060154
30,60,3.3727766633860528
30,70,3.55023884438987
30,80,3.6612390367649135
30,90,3.714474766702439
30,100,3.662966945565437
30,110,3.492047110770261
30,120,3.2048903955994605
