Theta,Phi,Normed_Energy
0,0,-12.088430408973863
10,0,-11.911392487055082
20,0,-11.382104835289624
30,0,-10.583012096159791
40,0,-9.646800168987738
50,0,-8.61260177045608
60,0,-7.658031942028856
70,0,-6.859264879978809
80,0,-6.361535848043104
90,0,-6.187546302145961
100,0,-6.370867785402083
110,0,-6.83384674937804
120,0,-7.491268538714621
130,0,-8.332421637338712
140,0,-9.339893988452559
150,0,-10.61702189160519
160,0,-12.041337050701031
170,0,-13.27012887680155
180,0,-13.714984878875612
190,0,-13.172778385650759
200,0,-11.844387954574927
210,0,-10.316264671723502
220,0,-9.046663613625242
230,0,-8.045775965486314
240,0,-7.258939543743168
250,0,-6.600004642104977
260,0,-6.179776172085212
270,0,-6.029046941381921
280,0,-6.2184836881435785
290,0,-6.723050873798684
300,0,-7.488396681048471
310,0,-8.454421937234429
320,0,-9.466853554743011
330,0,-10.454398039630064
340,0,-11.272789880912342
350,0,-11.864564376942212
0,5,-11.842790693107759
10,5,-11.707844129556861
20,5,-11.167611026682494
30,5,-10.315223947995491
40,5,-9.30690621700785
50,5,-8.20598710804029
60,5,-7.206238388748034
70,5,-6.3845326723833296
80,5,-5.883359243732002
90,5,-5.7184796224177035
100,5,-5.91268625327757
110,5,-6.376018630280214
120,5,-7.023182718232761
130,5,-7.849523341481927
140,5,-8.861359766720511
150,5,-10.195927333634245
160,5,-11.696212246292816
170,5,-12.9195994629481
180,5,-13.25251062034431
190,5,-12.621360562148425
200,5,-11.33367337687946
210,5,-9.932906434286565
220,5,-8.771661496609454
230,5,-7.827800736882068
240,5,-7.059712589923606
250,5,-6.400634553398163
260,5,-5.972094977722804
270,5,-5.807955126764114
280,5,-5.97982344122704
290,5,-6.470803802093769
300,5,-7.224484969899663
310,5,-8.177125459056015
320,5,-9.175454690241168
330,5,-10.147644532075105
340,5,-10.961716036561143
350,5,-11.575657099750288
0,10,-11.642436921393937
10,10,-11.550276117631938
20,10,-11.004161937545518
30,10,-10.099892477665321
40,10,-9.017553596694256
50,10,-7.84929455173733
60,10,-6.806288060113275
70,10,-5.966301814476537
80,10,-5.471264733438716
90,10,-5.323001425013331
100,10,-5.528465692832356
110,10,-5.991227162177552
120,10,-6.6228393807869
130,10,-7.424820041886051
140,10,-8.436841331204391
150,10,-9.837595535413811
160,10,-11.429809073391539
