,Phi,Theta,E_deloc,E_nonbond
99,0,0,-1388.228458796,-1366.0639383489
241,5,0,-1388.2279412707996,-1366.0639975932002
29,10,0,-1388.2263986394,-1366.0641720375997
280,15,0,-1388.2238324139,-1366.0644400707
131,20,0,-1388.2202492379001,-1366.0648279016
302,25,0,-1388.2156530440998,-1366.0652662017
201,30,0,-1388.2100596880998,-1366.0657914817
69,40,0,-1388.1959419583998,-1366.0668186218002
335,50,0,-1388.1780552089,-1366.0674670752999
144,60,0,-1388.1565323807001,-1366.0670480716
91,0,10,-1388.2284706673,-1366.0644606996002
250,5,10,-1388.227939768,-1366.0645417665
19,10,10,-1388.2263518232,-1366.0647594417999
284,15,10,-1388.2237623194,-1366.0650615869
117,20,10,-1388.2201355582997,-1366.0654616389002
295,25,10,-1388.2154851789,-1366.0659458737
181,30,10,-1388.2098419296003,-1366.0664660285997
65,40,10,-1388.1955321803998,-1366.0675111077003
325,50,10,-1388.1773090227998,-1366.0681839964
157,60,10,-1388.1553239546001,-1366.0677374634997
73,0,20,-1388.2284075445004,-1366.0659040135997
237,5,20,-1388.2278719983,-1366.0660049292
14,10,20,-1388.2262903581,-1366.0662276346002
274,15,20,-1388.2237120976,-1366.066527824
132,20,20,-1388.2200972486996,-1366.0669197487002
288,25,20,-1388.2154569716001,-1366.0673866446998
192,30,20,-1388.209817864,-1366.0678814336002
47,40,20,-1388.1954715639,-1366.0688778924
343,50,20,-1388.1771083749002,-1366.0695163549997
147,60,20,-1388.1548570707998,-1366.0690045514
100,0,30,-1388.2280479689998,-1366.067828999
229,5,30,-1388.2275315144,-1366.0679270272
33,10,30,-1388.2259805436997,-1366.0681475152
255,15,30,-1388.2234456300002,-1366.0684395115
118,20,30,-1388.2198841551,-1366.0688163296998
316,25,30,-1388.2153022660004,-1366.0692632607997
188,30,30,-1388.2097208685002,-1366.0697363723
55,40,30,-1388.1954745969997,-1366.0706988820002
342,50,30,-1388.1771646166,-1366.0713248256
153,60,30,-1388.1549018763997,-1366.0708004493001
83,0,40,-1388.2270970541003,-1366.0698840689997
246,5,40,-1388.2266295139998,-1366.0699572865
23,10,40,-1388.2251425337,-1366.0701451836999
275,15,40,-1388.2226828690004,-1366.0704076420998
108,20,40,-1388.2192044182,-1366.0707667537001
318,25,40,-1388.2147121053001,-1366.0712083102
180,30,40,-1388.2092277233,-1366.0716813735999
46,40,40,-1388.195190097,-1366.0726452979
329,50,40,-1388.1770760391,-1366.0733095760002
173,60,40,-1388.1550160709,-1366.0728463347998
94,0,50,-1388.2256425988,-1366.0716628679
245,5,50,-1388.2252404208002,-1366.0717182073
5,10,50,-1388.2238277545998,-1366.071888254
272,15,50,-1388.2214513681997,-1366.0721309309001
128,20,50,-1388.2180648215,-1366.0724709927001
320,25,50,-1388.2136741647,-1366.0728979688001
199,30,50,-1388.2083020925,-1366.0733666096
56,40,50,-1388.1945123953003,-1366.0743717953999
336,50,50,-1388.1766519568,-1366.0751634111998
171,60,50,-1388.1548488692,-1366.0749054083
77,0,60,-1388.2239012991,-1366.0729779783
239,5,60,-1388.2235685151002,-1366.0730073317998
11,10,60,-1388.2222294684002,-1366.0731598691
254,15,60,-1388.2199319359997,-1366.0733921002002
142,20,60,-1388.2166302647997,-1366.0737254543
313,25,60,-1388.2123315923,-1366.0741484595
189,30,60,-1388.2070601670998,-1366.0746192452002
42,40,60,-1388.1934868024002,-1366.0756794543997
349,50,60,-1388.1758395433997,-1366.0766539426002
176,60,60,-1388.1542110143998,-1366.0767749264003
93,0,70,-1388.2222553209,-1366.0738225088
233,5,70,-1388.221969535,-1366.0738350561
8,10,70,-1388.2206796419002,-1366.0739772194
283,15,70,-1388.2184380795,-1366.0742016717002
115,20,70,-1388.2151992824001,-1366.0745301473999
298,25,70,-1388.2109671882001,-1366.0749538822
200,30,70,-1388.2057643271999,-1366.0754331951
36,40,70,-1388.1923319809002,-1366.0765502110999
328,50,70,-1388.1748410192997,-1366.0776442838003
163,60,70,-1388.1533282651,-1366.0780770565
79,0,80,-1388.2210018841,-1366.0743278188
230,5,80,-1388.2207368568,-1366.0743261303003
7,10,80,-1388.2194726161001,-1366.0744521227998
268,15,80,-1388.2172642939004,-1366.0746566102998
138,20,80,-1388.2140641413002,-1366.0749631263998
312,25,80,-1388.2098695838,-1366.0753696507
191,30,80,-1388.2047008601999,-1366.0758394903
39,40,80,-1388.1913366708,-1366.0769499803
347,50,80,-1388.173930996,-1366.0780278942
151,60,80,-1388.1525244305,-1366.0784299748
72,0,90,-1388.2204188714998,-1366.0745284380002
223,5,90,-1388.2201460521999,-1366.0745078049001
32,10,90,-1388.218872649,-1366.074616399
279,15,90,-1388.2166515186998,-1366.0748057078001
133,20,90,-1388.2134353423,-1366.0750975375001
323,25,90,-1388.2092279186998,-1366.075480656
202,30,90,-1388.2040561811,-1366.0759103674
40,40,90,-1388.1907101407999,-1366.0768952972
330,50,90,-1388.1733525005,-1366.077758959
152,60,90,-1388.1520653972,-1366.0777374955999
95,0,100,-1388.2206347380002,-1366.0744971043
222,5,100,-1388.2203248336,-1366.074451476
4,10,100,-1388.2190119391998,-1366.0745329475003
263,15,100,-1388.2167498624997,-1366.0746910158002
135,20,100,-1388.2134933617997,-1366.0749445908002
294,25,100,-1388.20924728,-1366.0752803319
184,30,100,-1388.2040404548998,-1366.0756481017002
52,40,100,-1388.1906379659,-1366.0764419665002
354,50,100,-1388.1732663588002,-1366.0769581231
164,60,100,-1388.1520308029,-1366.0763255660002
97,0,110,-1388.2215295112003,-1366.0743209231998
216,5,110,-1388.2211646628,-1366.0742472416998
34,10,110,-1388.2197973263,-1366.0742928867999
261,15,110,-1388.2174825454003,-1366.0744051943998
125,20,110,-1388.2141767684002,-1366.0745994993
301,25,110,-1388.2098844871,-1366.0748604509001
210,30,110,-1388.2046326499,-1366.0751365558
37,40,110,-1388.1911502155,-1366.075675024
348,50,110,-1388.1737217095001,-1366.0757999910998
177,60,110,-1388.15244635,-1366.0745708931
81,0,120,-1388.2229040855,-1366.0740002962998
221,5,120,-1388.2224914267997,-1366.0738915254003
18,10,120,-1388.2210771608998,-1366.0738913680002
273,15,120,-1388.2187136069997,-1366.0739476202002
124,20,120,-1388.2153557473,-1366.0740754307
296,25,120,-1388.2110089245004,-1366.0742578266997
212,30,120,-1388.2057027766998,-1366.0744389229
67,40,120,-1388.1921217604,-1366.0747116431999
327,50,120,-1388.1746161991,-1366.0744469085998
155,60,120,-1388.1532711459001,-1366.0726824734
106,0,130,-1388.2243867663,-1366.073601256
226,5,130,-1388.2239356254,-1366.073461907
28,10,130,-1388.2224752967,-1366.0734244347
287,15,130,-1388.2200606001002,-1366.0734337238
130,20,130,-1388.2166489098001,-1366.0735030858998
297,25,130,-1388.2122476485,-1366.0736120846002
183,30,130,-1388.2068877187,-1366.0737013685
45,40,130,-1388.1931976486997,-1366.0737361467002
331,50,130,-1388.1755969777,-1366.0731463206998
161,60,130,-1388.1541851922002,-1366.0709384946
87,0,140,-1388.2257277078,-1366.0730419990002
240,5,140,-1388.2252492732002,-1366.0728875523998
17,10,140,-1388.2237516532998,-1366.0728269197
252,15,140,-1388.2212898199998,-1366.0728054177
134,20,140,-1388.2178207926997,-1366.0728369001001
305,25,140,-1388.2133510234003,-1366.0729024145999
209,30,140,-1388.2079117179003,-1366.0729436121999
50,40,140,-1388.1940534482,-1366.0728480866
353,50,140,-1388.1763051914002,-1366.0720566727998
159,60,140,-1388.1548014363002,-1366.0695765233
88,0,150,-1388.2267436371997,-1366.0721379803
218,5,150,-1388.2262448646002,-1366.07199357
1,10,150,-1388.2247104878998,-1366.0719405703003
270,15,150,-1388.2221962085996,-1366.0719217238002
111,20,150,-1388.2186606456,-1366.0719505073
314,25,150,-1388.2141117433002,-1366.0720120291999
198,30,150,-1388.2085814383004,-1366.0720501082997
70,40,150,-1388.1945113244,-1366.0719539089
341,50,150,-1388.1765455422997,-1366.0711567631001
156,60,150,-1388.1548814430998,-1366.0686613642001
80,0,160,-1388.2274060701995,-1366.0708746717003
234,5,160,-1388.2269014777003,-1366.0707460847998
27,10,160,-1388.2253423317,-1366.0707118757002
265,15,160,-1388.2227833960999,-1366.0707205800002
139,20,160,-1388.2191847002,-1366.0707871449
321,25,160,-1388.2145575961003,-1366.0708959940998
190,30,160,-1388.2089372136002,-1366.070989422
66,40,160,-1388.194658538,-1366.0710328958999
345,50,160,-1388.1764612571003,-1366.0704380722998
146,60,160,-1388.1546083600003,-1366.0682041849998
86,0,170,-1388.2278072844001,-1366.0694819202
249,5,170,-1388.2272990618999,-1366.069409403
22,10,170,-1388.2257239516998,-1366.0694414047002
281,15,170,-1388.2231390775999,-1366.0695263327
113,20,170,-1388.2195055302002,-1366.0696784185
290,25,170,-1388.2148341207999,-1366.0698842304
186,30,170,-1388.2091605127002,-1366.0700883542
64,40,170,-1388.1947583990002,-1366.0703937674
337,50,170,-1388.1764439553003,-1366.0701188306998
150,60,170,-1388.1545300198998,-1366.0682815530001
74,0,180,-1388.2280286995003,-1366.0686941362999
238,5,180,-1388.2275318437999,-1366.0687095719002
31,10,180,-1388.2259623205998,-1366.0688420619
262,15,180,-1388.2233788857,-1366.0690366685
120,20,180,-1388.2197462907002,-1366.0693030721
308,25,180,-1388.2150775502998,-1366.0696282265
182,30,180,-1388.2094109026,-1366.0699571669
62,40,180,-1388.1950538723997,-1366.0705152734001
359,50,180,-1388.1768396815,-1366.0705267753
167,60,180,-1388.1550982534995,-1366.0690729890002
104,0,190,-1388.2281198455,-1366.0690513349998
219,5,190,-1388.2276363448002,-1366.0691516671998
0,10,190,-1388.2260873596,-1366.0693620993
257,15,190,-1388.2235316495,-1366.0696354289
137,20,190,-1388.219936115,-1366.069984441
292,25,190,-1388.2153187842998,-1366.0703897399
207,30,190,-1388.2097237885,-1366.0707939653998
59,40,190,-1388.1955807574,-1366.0715104398
356,50,190,-1388.1776726369997,-1366.0717373568002
170,60,190,-1388.1563454271998,-1366.070606728
75,0,200,-1388.2279411616996,-1366.0702014950002
251,5,200,-1388.2274595736003,-1366.0703633818998
10,10,200,-1388.2259333262,-1366.0706215737
266,15,200,-1388.2234227600002,-1366.0709312684999
129,20,200,-1388.2198955403999,-1366.0713142175002
300,25,200,-1388.2153692063998,-1366.0717613805
208,30,200,-1388.2098891268,-1366.072217705
57,40,200,-1388.1960603834,-1366.0730657005001
326,50,200,-1388.1785887473998,-1366.0734850241001
145,60,200,-1388.1578090583,-1366.0726738655
101,0,210,-1388.2273961086,-1366.0713641401
224,5,210,-1388.2269129959002,-1366.0715625057999
16,10,210,-1388.2254080414,-1366.0718573530999
278,15,210,-1388.2229423534,-1366.0722018991
114,20,210,-1388.2194846471996,-1366.0726170342002
291,25,210,-1388.2150536788,-1366.073096645
206,30,210,-1388.2096954103,-1366.0735929765
51,40,210,-1388.1961870344999,-1366.0745734328002
355,50,210,-1388.1791387092,-1366.0752474697
175,60,210,-1388.1588860320003,-1366.0748367283
82,0,220,-1388.2263269703003,-1366.072325662
236,5,220,-1388.2258359097002,-1366.0725434555
2,10,220,-1388.2243428179,-1366.0728585995003
286,15,220,-1388.221909356,-1366.0732277237
122,20,220,-1388.2185040974005,-1366.0736742578997
319,25,220,-1388.2141453848,-1366.0741935756998
196,30,220,-1388.2088803134,-1366.0747364256001
41,40,220,-1388.1956170034002,-1366.0758618492998
344,50,220,-1388.1788826894,-1366.0767848098
174,60,220,-1388.1590002375,-1366.0767993502
85,0,230,-1388.2248457312996,-1366.0730928638002
243,5,230,-1388.2243304766998,-1366.0733141081
35,10,230,-1388.2228265023,-1366.0736391868
258,15,230,-1388.2203950418998,-1366.0740266548
123,20,230,-1388.2170057338997,-1366.0744982149001
304,25,230,-1388.2126757314998,-1366.0750509387
185,30,230,-1388.2074504206,-1366.0756395193
68,40,230,-1388.1942986189,-1366.0768896878
351,50,230,-1388.1776958397998,-1366.0780265422002
172,60,230,-1388.1579472283001,-1366.0784096516
105,0,240,-1388.2231765848999,-1366.0736786623
247,5,240,-1388.2226209888997,-1366.0738865851001
9,10,240,-1388.2210836003999,-1366.074202559
277,15,240,-1388.2186233733,-1366.0745902329
140,20,240,-1388.2152088808996,-1366.0750749762003
322,25,240,-1388.2108563345,-1366.0756532212
197,30,240,-1388.2056080856003,-1366.0762809597998
63,40,240,-1388.1924031496999,-1366.077648063
358,50,240,-1388.1757166519003,-1366.0789600027
149,60,240,-1388.1558183144998,-1366.0796456253001
107,0,250,-1388.2216028956002,-1366.0742216569
228,5,250,-1388.2209987004,-1366.0744070058001
30,10,250,-1388.2194142918,-1366.0747057515002
253,15,250,-1388.2169065481999,-1366.0750806952
116,20,250,-1388.2134402948,-1366.0755593503
317,25,250,-1388.2090301928,-1366.0761391062
194,30,250,-1388.2037171725003,-1366.076777096
44,40,250,-1388.1903456265,-1366.0782036356
339,50,250,-1388.1734152222002,-1366.0796311936997
179,60,250,-1388.1531420497,-1366.0805012684
89,0,260,-1388.2204608094,-1366.0746750320998
232,5,260,-1388.2198146415003,-1366.0748268728998
26,10,260,-1388.2181815582003,-1366.0751011953998
271,15,260,-1388.2156178179002,-1366.075458243
112,20,260,-1388.2120898577,-1366.0759207321998
306,25,260,-1388.207613383,-1366.0764833709
204,30,260,-1388.2022254354001,-1366.0771075375
49,40,260,-1388.1886498969998,-1366.0785424523
346,50,260,-1388.1713988589001,-1366.080043793
169,60,260,-1388.1506266243002,-1366.0810429663
96,0,270,-1388.2200172886999,-1366.0749187685003
231,5,270,-1388.2193414296996,-1366.0750424549003
15,10,270,-1388.2176729981,-1366.0752957207999
264,15,270,-1388.2150695602002,-1366.0756348116
119,20,270,-1388.2114967459,-1366.0760801783001
303,25,270,-1388.2069675765,-1366.0766261889
195,30,270,-1388.2015152491,-1366.0772363941999
71,40,270,-1388.1877629528,-1366.0786590953
333,50,270,-1388.1702395994996,-1366.0801740313002
158,60,270,-1388.1490258434999,-1366.0812335136
78,0,280,-1388.2203402932998,-1366.0749692898
227,5,280,-1388.219667325,-1366.0750609039
6,10,280,-1388.2180002365,-1366.0752818775998
256,15,280,-1388.2153971226005,-1366.0755875857997
127,20,280,-1388.2118214743002,-1366.0760002124
307,25,280,-1388.2072855970998,-1366.0765138154
211,30,280,-1388.2018241137002,-1366.0770885965999
38,40,280,-1388.1880325726,-1366.0784362009001
334,50,280,-1388.1704003670002,-1366.0798906015998
178,60,280,-1388.1489538306,-1366.0809066721
84,0,290,-1388.2213448371003,-1366.0747636341998
220,5,290,-1388.2207159628,-1366.0748126447997
13,10,290,-1388.2190910271001,-1366.0749889274998
285,15,290,-1388.2165279546002,-1366.0752490694
141,20,290,-1388.2129917385,-1366.0756151259002
311,25,290,-1388.2084976151,-1366.0760774267
203,30,290,-1388.2030803030998,-1366.0765942886
53,40,290,-1388.1893929622004,-1366.0777970851998
357,50,290,-1388.1718765018,-1366.0790661250003
160,60,290,-1388.1505091139,-1366.079856223
103,0,300,-1388.222872065,-1366.0740987103
248,5,300,-1388.2223125255005,-1366.0740984477998
20,10,300,-1388.2207575159998,-1366.0742199456001
269,15,300,-1388.2182673053999,-1366.074417718
143,20,300,-1388.2148081912999,-1366.0747127001002
309,25,300,-1388.210396211,-1366.0750952119001
213,30,300,-1388.2050688723,-1366.0755218675001
48,40,300,-1388.1915907403,-1366.0765076618
350,50,300,-1388.1743485211998,-1366.0774753091002
168,60,300,-1388.1533227346,-1366.0778408358
102,0,310,-1388.2246145124998,-1366.0728138514003
