Phi,Theta,E_deloc
0,0,0.051778026251629854
0,10,0.0
0,20,0.18157311720791222
0,30,0.5342268377992319
0,40,1.053069162762271
0,50,1.679851444669344
0,60,2.40104433790585
0,70,3.0781774400208293
0,80,3.648135079682633
0,90,3.9422102073093437
0,100,3.9041897506232264
0,110,3.5574573306734263
0,120,2.989137238473
0,130,2.3398097505851023
0,140,1.698097084638744
0,150,1.1790778645050095
0,160,0.7715385050891851
0,170,0.5160622717630277
0,180,0.36937689743237206
0,190,0.3307358971239528
0,200,0.43887000512565055
0,210,0.723960082210022
0,220,1.2283910355038894
0,230,1.900067382484711
0,240,2.6848872410582962
0,250,3.4116781422371028
0,260,3.9897275732668236
0,270,4.2326728277975
0,280,4.112899683247317
0,290,3.6872828562077498
0,300,3.082659360387907
0,310,2.4243170779461227
0,320,1.7746758360227242
0,330,1.2052405970725841
0,340,0.6885146090109779
0,350,0.30104788138782895
5,0,0.18041624169368198
5,10,0.1818212346102987
5,20,0.39204904865379925
5,30,0.7521218075955589
5,40,1.2525870298452202
5,50,1.8422017654676375
5,60,2.51890270193916
5,70,3.160927051648327
5,80,3.7082673844801626
5,90,3.992596795151989
5,100,3.957400380466198
5,110,3.619844589328174
5,120,3.055540742825638
5,130,2.4080339723080937
5,140,1.7705829080521103
5,150,1.2626879168476934
5,160,0.8664360633894039
5,170,0.6239761241521529
5,180,0.48521512190366506
5,190,0.4549853772987108
5,200,0.576643057265474
5,210,0.8782917163791808
5,220,1.3981295217646084
5,230,2.08287462191781
5,240,2.8781616445330482
5,250,3.614064541209439
5,260,4.203539216820386
5,270,4.45882989521494
5,280,4.340720276838141
5,290,3.90107492134513
5,300,3.268545096170056
5,310,2.57765900505707
5,320,1.900371222039935
5,330,1.3113076908859358
5,340,0.7904570227775326
5,350,0.41484889789037926
10,0,0.3538195061254719
10,10,0.3821294493385681
10,20,0.6188769232321369
10,30,0.9828849794961356
10,40,1.456457801496594
10,50,2.000534271384094
10,60,2.6272388049207485
10,70,3.2308073325804663
10,80,3.7522845051555906
10,90,4.028199585105547
10,100,3.9991494325135397
10,110,3.67316101681162
10,120,3.1141958288705793
10,130,2.473622530865678
10,140,1.846245935448756
10,150,1.3567622459792257
10,160,0.9788106260520645
10,170,0.7523999823326376
10,180,0.6205123998501063
10,190,0.5964553360730633
10,200,0.724888669853136
10,210,1.033646692475184
10,220,1.560226830984507
10,230,2.2518896527417676
10,240,3.0545726847416583
10,250,3.7994429363366566
10,260,4.398852836043158
10,270,4.666321268471469
10,280,4.550746723404115
10,290,4.101460758886273
10,300,3.442573861749644
10,310,2.7222457381100242
10,320,2.0237171521727184
10,330,1.423899873594169
10,340,0.9067268473126164
10,350,0.5466502611486176
15,0,0.550919894812178
15,10,0.6276378270194605
15,20,0.88857370273258
15,30,1.2505685216752063
15,40,1.6885822911219752
15,50,2.178004484503775
15,60,2.748531086465785
15,70,3.308587072980462
15,80,3.8005533136118324
15,90,4.070824577090854
15,100,4.050630395893045
15,110,3.737118303216823
15,120,3.1853841523200104
15,130,2.555481833064972
15,140,1.9448262814376385
15,150,1.4823251025840474
15,160,1.1327052631805306
15,170,0.9276798124158786
15,180,0.8028269820123732
15,190,0.7812803936803985
15,200,0.9067231450772056
15,210,1.2100030144205953
15,220,1.7322507051097695
15,230,2.423794990557604
15,240,3.230736737851139
15,250,3.985301438116714
15,260,4.594803251741636
15,270,4.874056867702583
15,280,4.7617503266956644
15,290,4.305216947008005
15,300,3.621504852717552
15,310,2.8752871512285254
15,320,2.1609566335451573
15,330,1.5595132908840965
15,340,1.056189702340414
15,350,0.7192208205267748
20,0,0.8189101007351469
20,10,0.9239880513578046
20,20,1.2076792852770113
20,30,1.5601431217696695
20,40,1.9527904375691751
20,50,2.3764544564213312
20,60,2.881893628806538
20,70,3.3917094883565824
20,80,3.85076695991964
20,90,4.117656264167021
20,100,4.107380176735343
20,110,3.8057403029400882
20,120,3.2640788011540183
20,130,2.6480179498717202
20,140,2.062114804553289
20,150,1.6361098631639948
20,160,1.3262037500608104
