,Phi,Theta,E_deloc,E_nonbond,E_hyd,E_tot,E_meth,norm_E_meth,new_E_nb,new_E_deloc
299,0,0,1.0267979059999561,-2755.3428492728,-2755.3427280954,-2754.3160513668,0.00012117739993300347,0.00012117739993300347,-2755.3428492728,1.0267979059999561
255,5,0,1.027345776799848,-2755.3429263975,-2755.3429263975,-2754.3155806207,0.0,0.00022131359992272337,-2755.3431477111,1.0275670903997707
163,10,0,1.0279015938999692,-2755.3420148689,-2755.3420148689,-2754.314113275,0.0,0.0004874969999946188,-2755.3425023659,1.0283890908999638
348,15,0,1.0282956148998892,-2755.3399589646,-2755.3399589646,-2754.3116633497,0.0,0.0009024093999414617,-2755.3408613740003,1.029198024300058
91,20,0,1.028541139799927,-2755.3367496063,-2755.3367496063,-2754.3082084665,0.0,0.0014209087999006442,-2755.3381705151,1.0299620485998275
2,25,0,1.028598035899904,-2755.3323352452,-2755.3323182007,-2754.3037372093,1.7044500054907985e-05,0.001968910999949003,-2755.3342871116997,1.0305499023997982
36,30,0,1.028458355100156,-2755.3266952762,-2755.3266622013,-2754.2982369211,3.307489987491863e-05,0.0024874025000372058,-2755.3291496038,1.030912682700091
214,40,0,1.027457584199965,-2755.3114428176,-2755.3113305488,-2754.2839852334,0.00011226879996684147,0.00289819620002163,-2755.314228745,1.0302435116000197
228,50,0,1.026189988400347,-2755.2912031986,-2755.2901959841,-2754.2650132102,0.00100721450007768,0.0031890456000382983,-2755.2933850297004,1.028371819500535
128,60,0,1.0257736908997686,-2755.2664993697,-2755.2625580878,-2754.2407256788,0.003941281900097238,0.0033156585000142513,-2755.2658737463,1.0251480674996856
304,0,10,1.0268419842000185,-2755.343042677,-2755.3428213634,-2754.3162006928,0.00022131359992272337,0.0032977277999179933,-2755.3461190912003,1.0299183984002411
286,5,10,1.0274947196999165,-2755.3431471629,-2755.3430448767,-2754.3156524432,0.00010228619998997601,0.0031238258000030328,-2755.3461687025,1.0305162592999295
171,10,10,1.028129118599736,-2755.3422572485997,-2755.342170778,-2754.31412813,8.647059985378291e-05,0.002798992099997122,-2755.3449697701,1.0308416400998794
340,15,10,1.0286103928001467,-2755.3402161617,-2755.3401635461,-2754.3116057689,5.2615599997807294e-05,0.002355030100034128,-2755.3425185762,1.0309128072999556
79,20,10,1.0289434267997422,-2755.3370200121,-2755.3369981522,-2754.3080765853,2.1859900016352185e-05,0.0018331399999169662,-2755.3388312921998,1.0307547068996428
11,25,10,1.0291169340002853,-2755.3326493269,-2755.3326493269,-2754.3035323929,0.0,0.0013100534999921365,-2755.3339593804003,1.0304269875005048
48,30,10,1.0291293549998954,-2755.3270601612,-2755.3270601612,-2754.2979308062,0.0,0.000833025500014628,-2755.3278931867,1.02996238049991
197,40,10,1.0285217508999267,-2755.3119166488,-2755.3119166488,-2754.2833948979,0.0,0.0004856794998886471,-2755.3124023283,1.0290074303998153
239,50,10,1.0278338574998998,-2755.291906034,-2755.2910171713,-2754.2640721765,0.0008888627000942506,0.0002592559999357036,-2755.2912764273,1.0272042507999686
123,60,10,1.028172350299883,-2755.2675012678,-2755.263651517,-2754.2393289175,0.0038497508001000824,0.00014989329997661116,-2755.2638014103004,1.0244724928002142
319,0,20,1.0273553800998343,-2755.3439051642,-2755.3434176672,-2754.3165497841,0.0004874969999946188,0.00011071299991272099,-2755.3435283802,1.0269785960999798
272,5,20,1.0280531204002727,-2755.3440107883002,-2755.3435741078,-2754.3159576679,0.00043668050011547166,9.217110005010909e-05,-2755.3436662789,1.02770861099998
159,10,20,1.0287331984995944,-2755.3431355041,-2755.3426471246,-2754.3144023056,0.0004883794999841484,5.924109996158222e-05,-2755.3427063657,1.0283040600997992
349,15,20,1.0292676353997194,-2755.3411294943,-2755.340605521,-2754.3118618589,0.0005239733000053093,1.1866000022564549e-05,-2755.340617387,1.0287555280997367
95,20,20,1.0296659463997457,-2755.3379885357,-2755.3374204872,-2754.3083225893,0.0005680484998720203,0.0,-2755.3374204872,1.0290978978996463
0,25,20,1.0299182570001904,-2755.3336855271,-2755.3330558333,-2754.3037672701,0.0006296937999650254,1.6421699911006726e-05,-2755.333072255,1.0293049849001363
59,30,20,1.03002621179985,-2755.3281735489,-2755.3274457836,-2754.2981473371,0.0007277652998709527,7.388730000457144e-05,-2755.3275196709,1.0293723337999836
204,40,20,1.029689048199998,-2755.3132442703,-2755.3122482739,-2754.2835552221,0.0009959963999790489,0.00012429939988578553,-2755.3123725733,1.0288173511999048
244,50,20,1.029408848699859,-2755.2935522677,-2755.2912267322,-2754.264143419,0.0023255355001765565,0.0001667471999553527,-2755.2913934793996,1.0272500603996377
119,60,20,1.0302993264999714,-2755.2695495456,-2755.2635129293,-2754.2392502191,0.006036616299979869,0.00019588850000218372,-2755.2637088178,1.0244585986997663
323,0,30,1.028173804799735,-2755.3449878231995,-2755.3440854138,-2754.3168140184,0.0009024093999414617,0.0002129464999143238,-2755.3442983603,1.0274843419001627
283,5,30,1.028872436399979,-2755.3450889026,-2755.3440982631,-2754.3162164662,0.0009906395000598422,0.0002307528000073944,-2755.3443290159003,1.0281125497003814
153,10,30,1.0295520769000177,-2755.3442288401,-2755.3430496683,-2754.3146767632,0.0011791718000040419,0.0002354509999804577,-2755.3432851193,1.0286083560999941
326,15,30,1.0300835588000155,-2755.3422532196,-2755.3408992418,-2754.3121696608,0.0013539777999085345,0.00021236459997453494,-2755.3411116064,1.028941945599854
96,20,30,1.0304788243997791,-2755.3391597287,-2755.3376143209,-2754.3086809043,0.0015454077999947913,0.00014465999993262812,-2755.3377589808997,1.0290780765994896
